FID,location,zone,stat_num,Site_Zone,elev,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
165,Parto_A6,A,6,Parto_A,1449,-5.5,7.7,17.4,5,-14.9,-3.7,7.2,-2.9,-10.2,2,12.3,1.1,99,173,727,237,930,171,0,208,0,113,671,94,2524,1477,531,1546,0,1,9,4,1,26,89,27,92,127,11,114,0,112,242,36,0,54,0,0,60,59,68,71
166,Glave_B1,B,1,Glave_B,656,-5,8.6,17.5,5.9,-12.6,-2.1,7.3,-1.4,-8.8,3.2,12.4,2.3,251,294,153,421,811,103,0,143,0,119,687,113,2404,1359,515,1434,0,4,9,6,1,31,90,35,227,170,3,179,0,113,245,49,0,62,93,0,67,63,68,74
167,Glave_B2,B,2,Glave_B,682,-5.1,8.4,17.4,5.8,-12.8,-2.2,7.2,-1.5,-8.9,3.1,12.3,2.2,255,299,156,429,818,107,0,147,0,114,674,110,2412,1372,527,1444,0,4,9,6,1,30,90,34,232,179,3,188,0,112,244,48,0,62,88,0,67,63,68,73
168,Glave_B3,B,3,Glave_B,708,-5.1,8.3,17.2,5.7,-12.9,-2.4,7.1,-1.6,-9,3,12.2,2.1,257,302,158,432,826,111,0,151,0,110,664,107,2419,1383,537,1454,0,4,8,6,1,30,89,33,235,185,3,194,0,112,242,48,0,61,84,0,67,62,68,73
169,Glave_B4,B,4,Glave_B,623,-5,8.7,17.7,6,-12.6,-2,7.4,-1.3,-8.8,3.3,12.5,2.4,248,291,150,417,806,101,0,140,0,122,695,116,2399,1351,508,1427,0,4,10,6,1,31,90,35,225,164,2,175,0,114,248,49,0,63,97,0,67,63,67,73
170,Glave_B5,B,5,Glave_B,658,-5,8.5,17.5,5.9,-12.7,-2.1,7.3,-1.4,-8.8,3.2,12.4,2.3,255,297,154,427,810,104,0,143,0,118,684,113,2403,1361,518,1435,0,4,9,6,1,31,90,35,231,173,3,183,0,113,245,49,0,62,91,0,67,63,68,73
171,Glave_B6,B,6,Glave_B,704,-5.1,8.3,17.3,5.8,-12.8,-2.3,7.2,-1.5,-9,3,12.2,2.1,260,304,158,436,821,109,0,149,0,111,668,108,2414,1379,533,1449,0,4,8,6,1,30,90,34,237,184,3,193,0,112,242,48,0,61,84,0,67,63,68,73
172,Glave_S1,S,1,Glave_S,779,-5.2,8,16.9,5.5,-13.1,-2.6,7,-1.8,-9.2,2.7,11.9,1.8,268,313,166,449,839,119,0,159,0,101,639,100,2433,1408,559,1474,0,4,7,6,1,28,89,32,245,204,3,211,0,109,237,47,0,59,71,0,66,63,68,73
173,Glave_S2,S,2,Glave_S,849,-5.3,7.7,16.5,5.3,-13.3,-2.8,6.8,-2,-9.3,2.4,11.7,1.6,279,325,174,467,852,127,0,167,0,93,614,94,2446,1433,581,1493,0,4,6,5,1,27,89,31,256,222,4,229,0,107,233,47,0,57,60,0,66,63,69,73
174,Glave_S3,S,3,Glave_S,914,-5.4,7.4,16.2,5.1,-13.5,-3,6.6,-2.2,-9.5,2.2,11.4,1.4,289,336,181,483,865,135,0,175,0,85,591,89,2460,1456,609,1512,0,4,6,5,1,26,89,30,267,239,4,247,0,105,229,34,0,55,49,0,65,63,69,73
175,Glave_S4,S,4,Glave_S,760,-5.2,8.1,17,5.6,-13,-2.5,7,-1.7,-9.1,2.8,12,1.9,268,313,164,449,833,116,0,156,0,104,646,103,2427,1400,552,1466,0,4,8,6,1,29,89,33,245,200,3,207,0,110,239,48,0,59,75,0,66,63,68,73
176,Glave_S5,S,5,Glave_S,822,-5.2,7.8,16.7,5.4,-13.2,-2.7,6.8,-1.9,-9.2,2.5,11.8,1.7,277,322,171,463,846,124,0,163,0,96,624,97,2440,1423,573,1485,0,4,7,6,1,28,89,32,254,216,4,224,0,108,235,47,0,58,64,0,66,63,69,73
177,Glave_S6,S,6,Glave_S,879,-5.3,7.6,16.4,5.2,-13.5,-3,6.7,-2.1,-9.4,2.3,11.5,1.5,286,332,177,477,858,132,0,171,0,89,602,91,2453,1446,598,1502,0,4,6,5,1,27,89,31,263,232,4,240,0,106,231,46,0,56,54,0,65,62,69,73
178,Glave_A1,A,1,Glave_A,965,-5.5,7.2,15.9,4.9,-13.8,-3.3,6.5,-2.4,-9.6,2,11.2,1.2,297,344,187,496,877,143,0,182,0,79,571,84,2473,1477,628,1528,0,4,5,5,1,25,88,29,275,254,5,263,0,104,226,33,0,54,43,0,65,63,70,73
179,Glave_A2,A,2,Glave_A,1023,-5.6,6.9,15.6,4.7,-14,-3.5,6.3,-2.6,-9.8,1.7,11,1.1,306,354,193,511,890,152,0,191,0,73,550,79,2486,1499,650,1546,1,4,4,5,1,24,88,28,285,271,6,280,0,102,222,33,0,52,37,0,64,62,70,73
180,Glave_A3,A,3,Glave_A,1076,-5.6,6.7,15.4,4.6,-14.2,-3.7,6.2,-2.8,-9.9,1.5,10.8,0.9,315,363,200,525,902,160,1,198,0,69,532,75,2499,1518,667,1562,1,4,4,5,1,23,88,27,294,284,6,297,0,101,219,32,0,51,31,0,63,62,70,73
181,Glave_A4,A,4,Glave_A,931,-5.4,7.3,16.1,5,-13.7,-3.2,6.5,-2.3,-9.5,2.1,11.3,1.3,294,340,182,489,871,140,0,179,0,82,581,86,2466,1468,619,1520,0,4,5,5,1,25,89,29,271,248,5,255,0,105,228,34,0,55,48,0,65,62,69,73
182,Glave_A5,A,5,Glave_A,986,-5.5,7.1,15.8,4.8,-13.9,-3.4,6.3,-2.5,-9.7,1.8,11.1,1.1,302,349,188,503,884,149,0,187,0,75,558,81,2480,1491,641,1538,0,4,5,5,1,24,88,28,280,264,5,272,0,103,225,33,0,53,42,0,64,62,70,73
183,Glave_A6,A,6,Glave_A,1020,-5.6,6.9,15.6,4.7,-14.1,-3.6,6.3,-2.7,-9.8,1.7,10.9,1,307,354,192,512,893,154,0,192,0,72,547,79,2490,1503,652,1549,1,4,4,5,1,24,88,28,286,272,6,284,0,102,223,33,0,52,38,0,64,62,70,73
184,Kusaw_S1,S,1,Kusaw_S,987,-7.1,5.4,14.3,3.7,-14.4,-3.8,6.1,-3,-10.7,0.8,10.2,0.3,185,255,201,344,972,201,1,223,0,63,479,63,2572,1586,720,1613,0,3,1,5,1,23,88,25,176,218,8,206,0,60,203,31,0,50,14,0,68,66,73,75
185,Kusaw_S2,S,2,Kusaw_S,1000,-7,5.4,14.3,3.7,-14.5,-3.9,6.1,-3.1,-10.7,0.8,10.2,0.3,187,256,202,347,973,201,1,224,0,63,479,63,2573,1586,721,1614,0,3,1,5,1,23,88,25,178,220,8,208,0,60,202,31,0,50,14,0,67,66,73,75
186,Kusaw_S3,S,3,Kusaw_S,1014,-6.9,5.4,14.2,3.7,-14.6,-3.9,6.1,-3.1,-10.8,0.8,10.2,0.3,189,259,203,352,973,201,1,225,0,62,478,62,2574,1587,722,1616,0,3,1,5,1,23,88,25,180,222,8,212,0,60,202,31,0,49,14,0,66,65,73,74
187,Kusaw_S4,S,4,Kusaw_S,1022,-6.9,5.4,14.2,3.7,-14.7,-4,6.1,-3.2,-10.8,0.7,10.2,0.3,190,260,203,355,977,203,1,227,0,62,476,62,2578,1590,723,1619,0,3,1,5,1,23,88,25,182,224,8,215,0,60,201,30,0,49,14,0,66,65,73,74
188,Kusaw_S5,S,5,Kusaw_S,1033,-6.8,5.4,14.2,3.7,-14.9,-4,6.1,-3.2,-10.8,0.7,10.2,0.2,192,262,203,358,978,204,1,228,0,61,476,62,2579,1592,724,1621,0,3,1,5,1,23,88,25,183,225,8,218,0,60,201,30,0,49,14,0,65,65,74,74
189,Kusaw_S6,S,6,Kusaw_S,1055,-6.7,5.4,14.2,3.7,-15,-4.1,6.1,-3.3,-10.9,0.7,10.1,0.2,193,263,204,360,981,206,1,230,0,61,473,61,2583,1596,726,1624,0,3,1,5,1,23,88,24,184,227,8,220,0,60,201,30,0,49,14,0,64,65,74,74
190,Kusaw_S7,S,7,Kusaw_S,1072,-6.6,5.5,14.1,3.7,-15.1,-4.1,6.1,-3.4,-10.9,0.7,10.1,0.2,195,266,204,364,981,206,1,231,0,60,472,61,2583,1596,727,1626,0,3,1,5,1,23,88,24,186,229,8,223,0,60,200,30,0,48,14,0,63,64,74,73
191,Kusaw_S8,S,8,Kusaw_S,1131,-6.6,5.4,14.1,3.7,-15.2,-4.2,6.1,-3.4,-10.9,0.6,10.1,0.1,197,270,208,370,983,208,1,234,0,59,467,60,2586,1601,732,1631,0,3,1,5,1,22,88,24,189,233,9,228,0,59,199,30,0,47,13,0,63,64,74,73
192,Kusaw_A1,A,1,Kusaw_A,1233,-6.4,5.4,13.9,3.6,-15.4,-4.3,6,-3.6,-10.9,0.5,10,0,204,279,216,384,985,210,1,237,0,57,459,59,2587,1607,741,1637,0,4,1,5,1,22,88,24,195,242,10,239,0,58,196,30,0,46,11,0,61,64,74,73
193,Kusaw_A2,A,2,Kusaw_A,1267,-6.3,5.4,13.8,3.6,-15.6,-4.4,6,-3.6,-10.9,0.5,9.9,0,206,282,218,389,987,211,1,240,0,56,456,59,2590,1611,744,1641,0,4,1,5,1,22,87,23,197,245,10,243,0,58,196,30,0,45,11,0,60,64,74,72
194,Kusaw_A3,A,3,Kusaw_A,1274,-6.3,5.4,13.8,3.6,-15.6,-4.5,6,-3.7,-10.9,0.4,9.9,0,206,282,221,388,988,213,1,242,0,55,452,58,2592,1615,748,1646,0,4,1,5,1,21,87,23,197,245,10,244,0,58,196,30,0,45,9,0,60,63,74,72
195,Kusaw_A4,A,4,Kusaw_A,1324,-6.3,5.3,13.7,3.6,-15.7,-4.6,5.9,-3.8,-11,0.4,9.8,-0.1,209,286,230,394,990,216,1,245,0,53,445,57,2594,1622,756,1652,0,4,1,5,1,21,87,23,200,250,11,250,0,57,195,30,0,45,6,0,60,63,74,72
196,Kusaw_A5,A,5,Kusaw_A,1338,-6.2,5.4,13.7,3.6,-15.5,-4.3,6.1,-3.6,-10.9,0.5,9.9,0,214,293,229,402,981,207,1,238,0,55,452,58,2583,1607,748,1639,0,4,1,5,1,22,88,24,204,253,10,251,0,57,193,29,0,44,6,0,60,64,75,73
197,Kusaw_A6,A,6,Kusaw_A,1368,-6.2,5.3,13.6,3.6,-15.5,-4.4,6,-3.6,-10.9,0.5,9.8,0,216,296,235,406,983,210,1,241,0,54,447,57,2586,1613,754,1645,0,4,1,5,1,22,87,23,207,256,11,256,0,57,193,29,0,44,4,0,60,64,75,72
198,Kusaw_A7,A,7,Kusaw_A,1379,-6.3,5.3,13.6,3.5,-15.6,-4.5,6,-3.7,-10.9,0.4,9.8,-0.1,217,297,239,408,986,212,1,244,0,53,443,57,2589,1618,758,1650,0,4,1,5,1,21,87,23,208,258,11,258,0,57,193,29,0,43,3,0,60,64,75,72
199,Kusaw_A8,A,8,Kusaw_A,1371,-6.3,5.3,13.6,3.5,-15.6,-4.6,5.9,-3.8,-11,0.4,9.8,-0.1,215,293,238,403,989,216,1,246,0,52,440,56,2593,1624,761,1654,0,4,1,5,1,21,87,23,206,256,12,257,0,57,194,29,0,44,3,0,60,64,75,72
